tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
,,,,,24.7,,,,#N/A,#N/A,#N/A,#N/A,5/29/15,16282,Vav-cre; Brca1f/+; BA/+,12/7/14,9.42,1.36,7.13,0.52,,9.57,15,44.9,46.9,15.7,33.4,19.7,961,5.7,no note,#N/A,#N/A,1,no note,42153,,16282
16422 >12 - 24,16422 >12 - 24-1,16422 >12 - 24-1,16422 >12 - 24-1,yes,20.4,Female,1,1,,,16422 >12 - 24-1,vav-cre; brca1f/+ (pure) >12 - 24,5/29/15,16422,Vav-cre; Brca1f/+,1/6/15,16,2.23,12.36,1.09,,6.6,6.7,27.2,41.2,10.2,24.6,25.9,187,7,no note,#N/A,#N/A,,no note,42153,,16422
16508 >12 - 24,16508 >12 - 24-1,16508 >12 - 24-1,16508 >12 - 24-1,yes,20.1,Male,1,1,,,16508 >12 - 24-1,vav-cre; brca1f/+ (pure) >12 - 24,5/29/15,16508,Vav-cre; Brca1f/+,1/8/15,13.72,0.99,12,0.72,,10.54,14.9,46,43.6,14.1,32.4,18.4,1313,4.2,no note,#N/A,#N/A,,no note,42153,,16508
,,,,,,,,,,,,TX0-0 WT pre-0 days BTXUT,5/29/15,16549-0-TX0,TX0-0 WT pre-0 days BTXUT,-,15.1,1.15,13.09,0.86,,10.3,13,42.1,40.9,12.6,30.9,19.1,1172,4.8,Transplant Mice 2-6-15,BTXUT,0,2,Transplant Mice 2-6-15,42153,,16549-0-TX0
,,,,,,,,,,,,TX0-0 WT pre-0 days BTXUT,5/29/15,16550-0-TX0,TX0-0 WT pre-0 days BTXUT,-,14.22,1.76,11.42,0.92,,9.61,12.3,40.9,42.6,12.8,30.1,19.3,1016,5,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16550-0-TX0
,,,,,,,,,,,,TX0-0 WT pre-0 days BTXUT,5/29/15,16551-0-TX0,TX0-0 WT pre-0 days BTXUT,-,18.64,3.62,13.79,0.94,,10.02,14.2,48.8,48.7,14.2,29.1,22.5,598,5.2,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16551-0-TX0
,,,,,,,,,,,,TX0-0 WT pre-0 days BTXUT,5/29/15,16552-0-TX0,TX0-0 WT pre-0 days BTXUT,-,15.02,2.34,11.76,0.78,,10.63,14.3,47.4,44.6,13.5,30.2,18.5,857,4.9,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16552-0-TX0
,,,,,,,,,,,,TX0-0 WT pre-0 days BTXUT,5/29/15,16553-0-TX0,TX0-0 WT pre-0 days BTXUT,-,11.16,0.9,9.71,0.55,,9.64,12.9,42.5,44.1,13.4,30.4,18.6,1284,4.8,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16553-0-TX0
,,,,,,,,,,,,TX0-0 Vav-cre; Brca1f/+ pre-0 days BTXUT,5/29/15,16554-0-TX0,TX0-0 Vav-cre; Brca1f/+ pre-0 days BTXUT,-,13.22,1.42,10.93,0.85,,9.39,12.8,43.5,46.3,13.6,29.4,18.6,902,4.5,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16554-0-TX0
,,,,,,,,,,,,TX0-0 Vav-cre; Brca1f/+ pre-0 days BTXUT,5/29/15,16555-0-TX0,TX0-0 Vav-cre; Brca1f/+ pre-0 days BTXUT,-,12.44,2.78,9.37,0.27,,10.36,13.8,46.1,44.5,13.3,29.9,19,1346,5.1,Transplant Mice 2-6-15,BTXUT,0,,Transplant Mice 2-6-15,42153,,16555-0-TX0
